beta mean unc mu sigma
38.0366 -0.423114 0.00370296 0.763521 0.667178
38.4208 -0.426765 0.00343728 0.767985 0.661274
38.8088 -0.435715 0.00248471 0.765436 0.661837
39.2009 -0.429853 0.00312268 0.7541 0.660228
39.5968 -0.429265 0.0028023 0.766589 0.662797
39.9968 -0.425859 0.00353895 0.755505 0.661545
40.4008 -0.429798 0.00331411 0.766572 0.658699
40.8089 -0.429952 0.00334679 0.771778 0.660796
41.2211 -0.432756 0.0028547 0.764394 0.655416
41.6375 -0.438354 0.00278846 0.775512 0.651333
42.0581 -0.436796 0.00295925 0.765463 0.648673
42.4829 -0.431291 0.00315735 0.77493 0.648608
42.912 -0.439206 0.00284871 0.776643 0.644847
43.3455 -0.437296 0.00325048 0.770731 0.64101
43.7833 -0.439251 0.00243493 0.781107 0.635728
44.2255 -0.440699 0.00238157 0.782338 0.631368
44.6723 -0.442673 0.00245749 0.777754 0.629893
45.1235 -0.442464 0.00229003 0.785511 0.624583
45.5793 -0.44843 0.00234961 0.79422 0.627339
46.0397 -0.443531 0.00250459 0.793311 0.630494
46.5047 -0.44331 0.00272773 0.799797 0.630786
46.9745 -0.443042 0.00271039 0.799163 0.631758
47.449 -0.442292 0.00270019 0.790171 0.628576
47.9283 -0.442292 0.00270019 0.790171 0.628576
48.4124 -0.442957 0.00278172 0.793823 0.626654
48.9014 -0.443287 0.0026086 0.784471 0.622006
49.3954 -0.443415 0.00262029 0.783245 0.624477
49.8943 -0.442699 0.00287605 0.780846 0.622625
50.3983 -0.444367 0.00220073 0.778985 0.622453
50.9073 -0.442424 0.00307451 0.771944 0.61839
51.4216 -0.440523 0.00279361 0.76948 0.621315
51.941 -0.4382 0.00219556 0.764568 0.625841
52.4656 -0.440314 0.00256554 0.771622 0.628299
52.9956 -0.442101 0.00218292 0.772156 0.631232
53.5309 -0.44317 0.00285664 0.775823 0.627626
54.0716 -0.44062 0.00277915 0.766637 0.631422
54.6178 -0.436611 0.00271218 0.772225 0.63112
55.1695 -0.442674 0.00224302 0.77753 0.631521
55.7268 -0.442674 0.00224302 0.77753 0.631521
56.2896 -0.442674 0.00224302 0.77753 0.631521
56.8582 -0.444194 0.00305899 0.770826 0.628158
